"","year","stateabb","state","binge_female","binge_male","binge_all","poverty"
"1",2010,"AK","Alaska",NA,NA,NA,9.9
"2",2010,"AL","Alabama",NA,NA,NA,19
"3",2010,"AR","Arkansas",NA,NA,NA,18.8
"4",2010,"AZ","Arizona",NA,NA,NA,17.4
"5",2010,"CA","California",NA,NA,NA,15.8
"6",2010,"CO","Colorado",NA,NA,NA,13.4
"7",2010,"CT","Connecticut",NA,NA,NA,10.1
"8",2010,"DC","District of Columbia",NA,NA,NA,19.2
"9",2010,"DE","Delaware",NA,NA,NA,11.8
"10",2010,"FL","Florida",NA,NA,NA,16.5
"11",2010,"GA","Georgia",NA,NA,NA,17.9
"12",2010,"HI","Hawaii",NA,NA,NA,10.7
"13",2010,"IA","Iowa",NA,NA,NA,12.6
"14",2010,"ID","Idaho",NA,NA,NA,15.7
"15",2010,"IL","Illinois",NA,NA,NA,13.8
"16",2010,"IN","Indiana",NA,NA,NA,15.3
"17",2010,"KS","Kansas",NA,NA,NA,13.6
"18",2010,"KY","Kentucky",NA,NA,NA,19
"19",2010,"LA","Louisiana",NA,NA,NA,18.7
"20",2010,"MA","Massachusetts",NA,NA,NA,11.4
"21",2010,"MD","Maryland",NA,NA,NA,9.9
"22",2010,"ME","Maine",NA,NA,NA,12.9
"23",2010,"MI","Michigan",NA,NA,NA,16.8
"24",2010,"MN","Minnesota",NA,NA,NA,11.6
"25",2010,"MO","Missouri",NA,NA,NA,15.3
"26",2010,"MS","Mississippi",NA,NA,NA,22.4
"27",2010,"MT","Montana",NA,NA,NA,14.6
"28",2010,"NC","North Carolina",NA,NA,NA,17.5
"29",2010,"ND","North Dakota",NA,NA,NA,13
"30",2010,"NE","Nebraska",NA,NA,NA,12.9
"31",2010,"NH","New Hampshire",NA,NA,NA,8.3
"32",2010,"NJ","New Jersey",NA,NA,NA,10.3
"33",2010,"NM","New Mexico",NA,NA,NA,20.4
"34",2010,"NV","Nevada",NA,NA,NA,14.9
"35",2010,"NY","New York",NA,NA,NA,14.9
"36",2010,"OH","Ohio",NA,NA,NA,15.8
"37",2010,"OK","Oklahoma",NA,NA,NA,16.9
"38",2010,"OR","Oregon",NA,NA,NA,15.8
"39",2010,"PA","Pennsylvania",NA,NA,NA,13.4
"40",2010,"PR","Puerto Rico",NA,NA,NA,45
"41",2010,"RI","Rhode Island",NA,NA,NA,14
"42",2010,"SC","South Carolina",NA,NA,NA,18.2
"43",2010,"SD","South Dakota",NA,NA,NA,14.4
"44",2010,"TN","Tennessee",NA,NA,NA,17.7
"45",2010,"TX","Texas",NA,NA,NA,17.9
"46",2010,"US","United States",NA,NA,NA,15.3
